b	283	54	480	97	mask	b
r	606	480	788	513	mask	r
r	807	472	918	502	mask	r
r	942	467	946	513	mask	r
r	968	467	1057	513	mask	r
r	1078	465	1176	491	mask	r
r	1199	470	1215	487	mask	r
r	608	517	716	539	mask	r
r	734	509	881	539	mask	r
r	901	506	935	532	mask	r
r	955	502	959	530	mask	r
r	972	498	1154	530	mask	r
r	1176	496	1212	522	mask	r
r	463	810	634	844	mask	r
r	651	805	721	836	mask	r
r	736	810	771	833	mask	r
r	792	797	883	829	mask	r
r	903	797	940	825	mask	r
r	959	792	1091	831	mask	r
r	1111	790	1180	827	mask	r
r	1197	788	1217	818	mask	r
r	1234	786	1264	816	mask	r
r	1284	784	1453	816	mask	r
r	1475	784	1615	814	mask	r
r	1631	786	1661	816	mask	r
r	1678	786	1728	820	mask	r
r	433	875	448	896	mask	r
r	472	862	593	894	mask	r
r	615	859	641	888	mask	r
r	667	857	732	892	mask	r
r	755	851	792	883	mask	r
r	816	849	922	881	mask	r
r	946	846	1028	877	mask	r
r	1054	842	1104	872	mask	r
r	1132	840	1258	870	mask	r
r	1284	838	1475	872	mask	r
r	1501	836	1663	868	mask	r
r	1682	838	1730	872	mask	r
r	433	914	563	948	mask	r
r	584	916	669	948	mask	r
r	688	914	745	944	mask	r
r	766	905	810	933	mask	r
r	827	903	937	940	mask	r
r	957	898	1083	927	mask	r
r	1106	894	1145	922	mask	r
r	1171	890	1290	920	mask	r
r	1312	890	1414	918	mask	r
r	1436	896	1472	918	mask	r
r	1494	888	1618	918	mask	r
r	1635	890	1730	927	mask	r
r	435	966	511	998	mask	r
r	535	963	649	998	mask	r
r	673	959	710	987	mask	r
r	734	953	940	992	mask	r
r	963	957	1026	985	mask	r
r	1052	946	1150	985	mask	r
r	1180	953	1243	972	mask	r
r	1269	942	1455	979	mask	r
r	1483	940	1730	976	mask	r
r	435	1018	476	1048	mask	r
r	493	1022	606	1046	mask	r
r	621	1013	656	1041	mask	r
r	673	1013	879	1046	mask	r
r	894	1002	940	1033	mask	r
r	957	1000	1028	1037	mask	r
r	1046	998	1191	1028	mask	r
r	1210	996	1241	1024	mask	r
r	1258	994	1299	1024	mask	r
r	1314	992	1501	1024	mask	r
r	1516	992	1561	1022	mask	r
r	1579	992	1639	1028	mask	r
r	1654	994	1730	1024	mask	r
r	437	1067	558	1106	mask	r
r	578	1065	638	1093	mask	r
r	658	1059	836	1096	mask	r
r	859	1057	927	1087	mask	r
r	950	1054	968	1083	mask	r
r	992	1052	1074	1085	mask	r
r	1096	1048	1249	1078	mask	r
r	1273	1046	1407	1083	mask	r
r	1429	1044	1527	1074	mask	r
r	1550	1044	1682	1074	mask	r
r	1700	1044	1732	1076	mask	r
r	437	1115	608	1156	mask	r
r	628	1111	866	1143	mask	r
r	888	1106	963	1134	mask	r
r	985	1102	1147	1134	mask	r
r	1171	1100	1212	1130	mask	r
r	1234	1100	1338	1132	mask	r
r	1362	1096	1379	1126	mask	r
r	1403	1096	1455	1126	mask	r
r	1475	1096	1644	1132	mask	r
r	1659	1098	1730	1126	mask	r
r	439	1178	493	1206	mask	r
r	509	1169	552	1197	mask	r
r	569	1165	725	1195	mask	r
r	742	1163	792	1193	mask	r
r	807	1160	853	1191	mask	r
r	870	1158	888	1189	mask	r
r	903	1158	1002	1186	mask	r
r	1018	1152	1221	1191	mask	r
r	1236	1152	1264	1180	mask	r
r	1284	1150	1392	1180	mask	r
r	1410	1147	1470	1178	mask	r
r	1488	1147	1669	1184	mask	r
r	1680	1147	1732	1178	mask	r
r	439	1219	599	1251	mask	r
r	612	1217	647	1247	mask	r
r	660	1217	708	1245	mask	r
r	719	1212	812	1247	mask	r
r	827	1210	937	1247	mask	r
r	953	1208	1024	1245	mask	r
r	1037	1206	1087	1236	mask	r
r	1100	1204	1197	1234	mask	r
r	1210	1212	1249	1232	mask	r
r	1264	1202	1334	1232	mask	r
r	1353	1199	1381	1230	mask	r
r	1397	1199	1548	1230	mask	r
r	1557	1199	1594	1228	mask	r
r	1602	1197	1732	1228	mask	r
r	470	1271	522	1301	mask	r
r	537	1269	684	1299	mask	r
r	701	1267	729	1295	mask	r
r	742	1264	970	1301	mask	r
r	987	1260	1026	1288	mask	r
r	1044	1258	1070	1288	mask	r
r	1087	1256	1241	1286	mask	r
r	1256	1254	1299	1284	mask	r
r	1316	1254	1418	1288	mask	r
r	1436	1251	1516	1282	mask	r
r	1529	1251	1557	1280	mask	r
r	1572	1249	1674	1280	mask	r
r	1687	1249	1734	1280	mask	r
r	441	1323	504	1360	mask	r
r	519	1321	535	1351	mask	r
r	550	1319	716	1351	mask	r
r	729	1316	836	1351	mask	r
r	853	1314	879	1342	mask	r
r	896	1312	1046	1351	mask	r
r	1063	1306	1303	1338	mask	r
r	1323	1312	1362	1334	mask	r
r	1381	1303	1466	1338	mask	r
r	1485	1303	1626	1340	mask	r
r	1639	1301	1734	1338	mask	r
