b	1359	23	1668	60	mask	b
r	321	487	523	515	mask	r
r	556	482	674	510	mask	r
r	709	489	715	506	mask	r
r	750	480	823	506	mask	r
r	857	478	915	504	mask	r
r	952	474	1112	506	mask	r
r	321	519	478	549	mask	r
r	500	517	655	547	mask	r
r	681	515	717	540	mask	r
r	745	512	887	540	mask	r
r	913	510	950	536	mask	r
r	976	508	1159	536	mask	r
r	1187	504	1331	536	mask	r
r	161	816	200	844	mask	r
r	217	812	349	842	mask	r
r	366	810	407	838	mask	r
r	422	810	450	838	mask	r
r	469	806	620	838	mask	r
r	635	803	676	834	mask	r
r	693	803	782	831	mask	r
r	797	801	885	831	mask	r
r	903	797	1049	829	mask	r
r	1064	793	1316	825	mask	r
r	1331	799	1392	819	mask	r
r	1405	790	1534	825	mask	r
r	125	868	157	903	mask	r
r	181	872	230	894	mask	r
r	252	864	325	892	mask	r
r	346	857	508	890	mask	r
r	532	855	689	894	mask	r
r	713	862	754	883	mask	r
r	778	859	838	887	mask	r
r	859	851	1004	881	mask	r
r	1025	847	1043	877	mask	r
r	1066	853	1125	877	mask	r
r	1148	847	1278	875	mask	r
r	1301	840	1484	879	mask	r
r	1508	838	1536	866	mask	r
r	129	915	226	952	mask	r
r	250	922	267	941	mask	r
r	284	915	390	944	mask	r
r	411	918	439	939	mask	r
r	463	909	523	939	mask	r
r	547	907	633	937	mask	r
r	655	903	816	935	mask	r
r	836	903	855	931	mask	r
r	875	900	1017	931	mask	r
r	1038	898	1161	928	mask	r
r	1183	903	1241	924	mask	r
r	1262	894	1303	922	mask	r
r	1323	890	1474	922	mask	r
r	1495	896	1534	918	mask	r
r	131	976	191	1004	mask	r
r	211	965	252	995	mask	r
r	271	965	355	993	mask	r
r	375	969	413	991	mask	r
r	431	959	528	997	mask	r
r	547	956	689	987	mask	r
r	706	954	838	984	mask	r
r	855	959	894	982	mask	r
r	915	950	1069	987	mask	r
r	1084	956	1125	976	mask	r
r	1146	954	1185	976	mask	r
r	1204	944	1379	980	mask	r
r	163	1017	219	1047	mask	r
r	234	1015	413	1049	mask	r
r	433	1008	657	1047	mask	r
r	674	1006	715	1036	mask	r
r	734	1012	859	1040	mask	r
r	877	1002	1047	1030	mask	r
r	1066	997	1286	1028	mask	r
r	1306	995	1357	1030	mask	r
r	1377	991	1538	1028	mask	r
r	133	1077	187	1105	mask	r
r	206	1075	269	1097	mask	r
r	286	1066	353	1094	mask	r
r	372	1062	493	1099	mask	r
r	512	1058	648	1092	mask	r
r	668	1058	719	1086	mask	r
r	739	1064	778	1084	mask	r
r	799	1051	952	1090	mask	r
r	969	1049	1071	1079	mask	r
r	1097	1056	1101	1079	mask	r
r	1122	1056	1140	1075	mask	r
r	1161	1047	1299	1077	mask	r
r	1321	1043	1493	1081	mask	r
r	1513	1040	1541	1069	mask	r
r	133	1120	288	1155	mask	r
r	301	1114	422	1148	mask	r
r	437	1120	474	1142	mask	r
r	491	1109	670	1144	mask	r
r	689	1116	728	1135	mask	r
r	747	1105	819	1142	mask	r
r	836	1103	944	1133	mask	r
r	959	1101	1000	1131	mask	r
r	1019	1101	1107	1129	mask	r
r	1125	1099	1200	1127	mask	r
r	1215	1097	1400	1131	mask	r
r	1416	1094	1435	1122	mask	r
r	1448	1092	1541	1122	mask	r
r	133	1168	299	1206	mask	r
r	325	1163	508	1196	mask	r
r	534	1161	597	1189	mask	r
r	622	1157	722	1194	mask	r
r	750	1155	855	1185	mask	r
r	879	1153	965	1183	mask	r
r	989	1153	1019	1181	mask	r
r	1040	1150	1166	1178	mask	r
r	1191	1148	1252	1176	mask	r
r	1278	1144	1541	1183	mask	r
r	135	1222	170	1250	mask	r
r	185	1217	349	1250	mask	r
r	368	1215	394	1243	mask	r
r	411	1215	439	1243	mask	r
r	456	1215	564	1247	mask	r
r	584	1217	622	1239	mask	r
r	642	1206	795	1245	mask	r
r	810	1213	849	1234	mask	r
r	864	1206	933	1241	mask	r
r	948	1202	1066	1232	mask	r
r	1079	1200	1109	1230	mask	r
r	1120	1198	1215	1228	mask	r
r	1228	1196	1390	1234	mask	r
r	1403	1194	1543	1230	mask	r
r	135	1269	260	1301	mask	r
r	280	1267	381	1297	mask	r
r	398	1265	482	1293	mask	r
r	502	1260	681	1291	mask	r
r	700	1258	717	1288	mask	r
r	739	1256	788	1293	mask	r
r	806	1262	883	1284	mask	r
r	898	1254	1012	1291	mask	r
r	1034	1250	1174	1280	mask	r
r	1194	1250	1245	1284	mask	r
r	1267	1247	1381	1284	mask	r
r	1400	1250	1545	1275	mask	r
r	137	1321	185	1351	mask	r
r	200	1319	351	1357	mask	r
r	366	1314	420	1351	mask	r
r	435	1310	564	1347	mask	r
r	579	1310	620	1340	mask	r
r	633	1306	875	1344	mask	r
r	887	1303	997	1338	mask	r
r	1010	1303	1028	1331	mask	r
r	1040	1310	1081	1331	mask	r
r	1094	1301	1194	1338	mask	r
r	1206	1297	1336	1336	mask	r
r	1349	1295	1545	1327	mask	r
r	137	1372	196	1400	mask	r
r	215	1370	265	1398	mask	r
r	284	1368	323	1398	mask	r
r	340	1366	456	1396	mask	r
r	472	1370	536	1400	mask	r
r	551	1359	631	1390	mask	r
r	648	1368	728	1390	mask	r
r	745	1359	797	1394	mask	r
r	816	1364	855	1385	mask	r
r	872	1357	900	1385	mask	r
r	915	1355	1019	1383	mask	r
r	1034	1353	1133	1387	mask	r
r	1153	1359	1170	1379	mask	r
r	172	1418	338	1452	mask	r
r	362	1416	403	1446	mask	r
r	428	1416	635	1446	mask	r
r	657	1409	724	1439	mask	r
r	747	1407	903	1439	mask	r
r	928	1413	984	1441	mask	r
r	1004	1403	1127	1435	mask	r
r	1153	1400	1204	1431	mask	r
r	1226	1398	1435	1428	mask	r
r	1456	1394	1547	1424	mask	r
r	140	1474	228	1502	mask	r
r	243	1480	250	1500	mask	r
r	262	1478	282	1500	mask	r
r	295	1469	379	1500	mask	r
r	392	1467	465	1500	mask	r
r	478	1465	547	1495	mask	r
r	558	1463	609	1493	mask	r
r	622	1469	663	1491	mask	r
r	676	1459	864	1495	mask	r
r	877	1456	918	1487	mask	r
r	931	1463	972	1484	mask	r
r	984	1454	1056	1491	mask	r
r	1069	1450	1243	1482	mask	r
r	1254	1448	1387	1478	mask	r
r	1400	1454	1418	1474	mask	r
r	1428	1446	1480	1474	mask	r
r	1495	1452	1549	1474	mask	r
r	140	1523	258	1553	mask	r
r	273	1528	312	1549	mask	r
r	331	1517	461	1551	mask	r
r	478	1515	495	1545	mask	r
r	512	1523	528	1549	mask	r
r	545	1513	642	1549	mask	r
r	661	1519	722	1541	mask	r
r	741	1510	836	1545	mask	r
r	855	1515	915	1543	mask	r
r	933	1513	1012	1541	mask	r
r	1028	1502	1224	1534	mask	r
r	1241	1508	1323	1530	mask	r
r	1340	1497	1450	1530	mask	r
r	1469	1495	1549	1525	mask	r
r	142	1581	181	1603	mask	r
r	198	1581	258	1609	mask	r
r	273	1577	400	1601	mask	r
r	415	1575	454	1597	mask	r
r	469	1566	558	1603	mask	r
r	571	1562	702	1599	mask	r
r	715	1569	754	1590	mask	r
r	769	1558	890	1588	mask	r
r	905	1556	944	1586	mask	r
r	956	1553	1157	1584	mask	r
r	1174	1551	1213	1581	mask	r
r	1224	1553	1278	1579	mask	r
r	1295	1549	1334	1579	mask	r
r	1347	1556	1387	1577	mask	r
r	1398	1547	1551	1581	mask	r
r	142	1627	193	1655	mask	r
r	215	1622	295	1653	mask	r
r	316	1620	415	1650	mask	r
r	435	1614	661	1646	mask	r
r	683	1612	773	1640	mask	r
r	793	1609	883	1638	mask	r
r	903	1607	997	1640	mask	r
r	1015	1605	1092	1635	mask	r
r	1114	1603	1155	1631	mask	r
r	1176	1603	1271	1638	mask	r
r	1293	1599	1553	1629	mask	r
r	144	1674	318	1704	mask	r
r	336	1672	368	1700	mask	r
r	383	1666	534	1706	mask	r
r	553	1663	784	1700	mask	r
r	806	1657	974	1689	mask	r
r	993	1663	1010	1683	mask	r
r	181	1726	262	1754	mask	r
r	288	1722	390	1752	mask	r
r	415	1719	545	1750	mask	r
r	571	1717	599	1745	mask	r
r	625	1713	799	1750	mask	r
r	825	1709	900	1739	mask	r
r	928	1706	1045	1737	mask	r
r	1071	1704	1265	1741	mask	r
r	1291	1702	1375	1730	mask	r
r	1398	1700	1448	1728	mask	r
r	1472	1698	1553	1728	mask	r
r	144	1775	351	1806	mask	r
r	370	1771	411	1801	mask	r
r	431	1778	491	1799	mask	r
r	510	1767	618	1799	mask	r
r	640	1763	743	1795	mask	r
r	765	1769	806	1791	mask	r
r	827	1763	915	1791	mask	r
r	937	1763	1120	1795	mask	r
r	1146	1763	1153	1784	mask	r
r	1174	1760	1194	1782	mask	r
r	1213	1754	1254	1782	mask	r
r	1275	1752	1409	1788	mask	r
r	1428	1747	1553	1782	mask	r
r	146	1834	243	1857	mask	r
r	252	1831	290	1855	mask	r
r	299	1821	450	1853	mask	r
r	465	1819	592	1851	mask	r
r	605	1816	655	1851	mask	r
r	668	1812	866	1851	mask	r
r	875	1810	913	1840	mask	r
r	926	1808	1051	1838	mask	r
r	1060	1803	1280	1842	mask	r
r	1288	1803	1321	1831	mask	r
r	1329	1803	1383	1836	mask	r
r	1396	1799	1556	1829	mask	r
r	148	1879	234	1907	mask	r
r	252	1875	310	1905	mask	r
r	329	1875	359	1903	mask	r
r	375	1875	467	1905	mask	r
r	487	1870	568	1900	mask	r
r	588	1866	700	1896	mask	r
r	717	1864	857	1894	mask	r
r	875	1862	905	1890	mask	r
r	922	1868	976	1888	mask	r
r	993	1860	1021	1888	mask	r
r	1040	1860	1150	1894	mask	r
r	1170	1862	1209	1885	mask	r
r	1228	1853	1375	1883	mask	r
r	1392	1851	1454	1881	mask	r
r	1472	1851	1556	1879	mask	r
r	148	1928	301	1963	mask	r
r	321	1924	426	1954	mask	r
r	443	1922	484	1950	mask	r
r	500	1920	609	1950	mask	r
r	629	1918	678	1946	mask	r
r	696	1916	855	1952	mask	r
r	872	1911	933	1941	mask	r
r	952	1909	1112	1939	mask	r
r	1133	1916	1150	1935	mask	r
r	181	1978	271	2008	mask	r
r	286	1976	364	2006	mask	r
r	381	1972	489	2010	mask	r
r	504	1969	545	2000	mask	r
r	560	1976	618	1997	mask	r
r	635	1965	812	1997	mask	r
r	829	1963	896	1993	mask	r
r	909	1961	1012	1991	mask	r
r	1030	1959	1084	1987	mask	r
r	1099	1959	1127	1987	mask	r
r	1142	1956	1250	1985	mask	r
r	1262	1954	1303	1985	mask	r
r	1316	1954	1558	1987	mask	r
r	1454	2116	1487	2142	mask	r
