b	209	36	452	64	mask	b
r	349	137	431	165	mask	r
r	450	140	553	168	mask	r
r	575	146	633	174	mask	r
r	655	140	795	174	mask	r
r	819	137	857	165	mask	r
r	877	137	1062	172	mask	r
r	1088	137	1150	172	mask	r
r	1176	137	1260	165	mask	r
r	1284	137	1446	168	mask	r
r	1469	140	1573	178	mask	r
r	1597	148	1700	181	mask	r
r	349	198	405	217	mask	r
r	422	196	508	224	mask	r
r	528	189	588	217	mask	r
r	607	196	700	224	mask	r
r	719	196	778	224	mask	r
r	799	187	881	219	mask	r
r	898	189	1012	224	mask	r
r	1032	189	1163	217	mask	r
r	1183	191	1260	219	mask	r
r	1282	189	1474	226	mask	r
r	1495	193	1534	221	mask	r
r	1553	193	1599	224	mask	r
r	1616	198	1700	237	mask	r
r	349	241	409	269	mask	r
r	433	247	523	275	mask	r
r	547	239	637	275	mask	r
r	665	250	702	269	mask	r
r	726	239	903	275	mask	r
r	928	247	984	275	mask	r
r	1010	239	1146	269	mask	r
r	1172	241	1204	271	mask	r
r	1228	241	1256	269	mask	r
r	1280	241	1469	278	mask	r
r	1493	243	1644	278	mask	r
r	1655	256	1700	286	mask	r
r	349	290	627	325	mask	r
r	668	299	745	327	mask	r
r	782	290	829	321	mask	r
r	866	290	1049	321	mask	r
r	383	340	403	370	mask	r
r	415	342	540	379	mask	r
r	553	342	734	379	mask	r
r	750	351	795	372	mask	r
r	808	342	1000	379	mask	r
r	1012	344	1051	372	mask	r
r	1064	342	1181	372	mask	r
r	1194	351	1256	379	mask	r
r	1269	346	1355	375	mask	r
r	1368	353	1476	375	mask	r
r	1487	355	1506	375	mask	r
r	1519	346	1577	377	mask	r
r	1590	351	1702	385	mask	r
r	346	392	517	426	mask	r
r	530	394	579	428	mask	r
r	592	392	786	431	mask	r
r	797	403	851	424	mask	r
r	862	403	918	424	mask	r
r	931	394	1069	424	mask	r
r	1086	394	1125	424	mask	r
r	1137	394	1262	431	mask	r
r	1275	396	1336	424	mask	r
r	1347	396	1456	431	mask	r
r	1472	398	1532	428	mask	r
r	1543	400	1704	437	mask	r
r	346	443	379	472	mask	r
r	394	443	454	472	mask	r
r	472	452	618	480	mask	r
r	637	443	693	474	mask	r
r	711	446	823	480	mask	r
r	842	446	969	474	mask	r
r	989	443	1140	482	mask	r
r	1159	448	1237	476	mask	r
r	1258	448	1394	484	mask	r
r	1416	448	1433	478	mask	r
r	1452	448	1482	478	mask	r
r	1502	456	1616	482	mask	r
r	1633	452	1670	482	mask	r
r	1683	454	1704	484	mask	r
r	346	493	392	523	mask	r
r	415	493	512	523	mask	r
r	536	495	566	523	mask	r
r	588	495	741	532	mask	r
r	765	504	819	532	mask	r
r	840	497	972	532	mask	r
r	997	500	1028	528	mask	r
r	1051	497	1135	528	mask	r
r	1159	497	1187	528	mask	r
r	1211	500	1239	528	mask	r
