r	1762	460	1868	489	mask	r
r	1088	470	1130	476	mask	r
r	1166	444	1214	499	mask	r
r	1250	470	1295	476	mask	r
r	541	547	634	579	mask	r
r	663	538	686	579	mask	r
r	724	541	737	579	mask	r
i	769	541	972	596	mask	i
i	1001	541	1130	583	mask	i
r	1163	557	1198	592	mask	r
r	1237	541	1382	583	mask	r
r	1411	541	1452	583	mask	r
r	1481	541	1568	583	mask	r
r	1601	541	1643	583	mask	r
r	1675	557	1733	586	mask	r
r	538	608	666	647	mask	r
r	695	608	805	650	mask	r
r	831	608	953	663	mask	r
r	982	608	1111	663	mask	r
r	1140	608	1317	650	mask	r
b	618	924	1088	976	mask	b
r	1117	924	1163	963	mask	r
r	1195	924	1243	966	mask	r
r	1272	924	1311	966	mask	r
r	1336	947	1391	956	mask	r
r	1420	924	1475	966	mask	r
r	1517	924	1546	966	mask	r
r	1575	937	1601	979	mask	r
r	1636	940	1736	979	mask	r
r	534	985	634	1027	mask	r
r	670	989	766	1037	mask	r
r	795	998	821	1030	mask	r
r	850	989	1005	1043	mask	r
r	1037	989	1101	1030	mask	r
r	1130	989	1343	1043	mask	r
r	1372	992	1414	1030	mask	r
r	1459	989	1643	1034	mask	r
r	1681	995	1733	1034	mask	r
r	531	1069	682	1111	mask	r
r	711	1069	786	1111	mask	r
r	811	1056	853	1098	mask	r
r	882	1056	1021	1111	mask	r
r	1047	1059	1163	1098	mask	r
r	1198	1059	1240	1098	mask	r
i	1279	1059	1414	1098	mask	i
r	1452	1059	1523	1101	mask	r
r	1568	1059	1668	1114	mask	r
r	1701	1059	1733	1101	mask	r
r	531	1124	699	1175	mask	r
r	728	1124	744	1166	mask	r
i	782	1124	850	1166	mask	i
i	882	1124	1169	1166	mask	i
i	1195	1124	1414	1166	mask	i
i	1420	1127	1678	1182	mask	i
r	1694	1143	1730	1179	mask	r
r	531	1188	602	1230	mask	r
r	621	1188	853	1243	mask	r
r	892	1192	908	1230	mask	r
i	927	1192	1227	1246	mask	i
i	1256	1192	1295	1230	mask	i
r	1311	1204	1369	1233	mask	r
i	1391	1192	1504	1233	mask	i
r	1530	1208	1546	1230	mask	r
r	1581	1192	1733	1243	mask	r
r	544	1256	560	1298	mask	r
i	576	1256	644	1298	mask	i
i	676	1259	998	1314	mask	i
r	1014	1275	1027	1295	mask	r
r	1056	1259	1208	1314	mask	r
r	1233	1256	1246	1301	mask	r
i	1272	1256	1449	1301	mask	i
i	1465	1259	1539	1301	mask	i
i	1556	1259	1733	1301	mask	i
i	531	1327	679	1369	mask	i
r	705	1343	718	1362	mask	r
r	757	1327	908	1382	mask	r
r	937	1327	953	1369	mask	r
i	979	1327	1117	1369	mask	i
i	1150	1327	1343	1382	mask	i
r	1365	1343	1378	1365	mask	r
r	1407	1327	1546	1382	mask	r
r	1572	1330	1588	1369	mask	r
i	1610	1330	1733	1372	mask	i
i	534	1391	757	1433	mask	i
r	789	1411	821	1433	mask	r
r	847	1394	905	1436	mask	r
r	924	1407	1056	1449	mask	r
r	1082	1394	1153	1436	mask	r
r	1182	1394	1604	1449	mask	r
r	1623	1394	1733	1436	mask	r
r	531	1459	705	1514	mask	r
r	734	1475	760	1501	mask	r
r	786	1475	873	1501	mask	r
r	914	1459	1172	1504	mask	r
r	1214	1459	1391	1504	mask	r
r	1430	1462	1539	1504	mask	r
r	1578	1459	1675	1514	mask	r
r	1707	1475	1730	1504	mask	r
r	531	1539	676	1578	mask	r
r	695	1527	750	1568	mask	r
r	769	1539	831	1568	mask	r
r	850	1527	1108	1568	mask	r
r	1127	1527	1169	1568	mask	r
r	1192	1527	1311	1568	mask	r
r	1330	1527	1568	1581	mask	r
r	1594	1527	1688	1581	mask	r
r	1707	1527	1730	1568	mask	r
r	531	1591	560	1633	mask	r
r	589	1604	715	1649	mask	r
r	744	1594	850	1636	mask	r
r	879	1594	947	1649	mask	r
r	976	1604	1250	1636	mask	r
r	1282	1594	1459	1636	mask	r
b	615	1691	670	1730	mask	b
i	724	1691	966	1733	mask	i
i	1784	1691	1839	1733	mask	i
b	615	1846	834	1887	mask	b
r	863	1846	1079	1887	mask	r
r	1108	1868	1163	1875	mask	r
r	1182	1846	1237	1887	mask	r
r	1266	1858	1288	1887	mask	r
r	1317	1846	1472	1900	mask	r
r	1501	1849	1572	1887	mask	r
r	1604	1849	1701	1904	mask	r
r	1720	1865	1730	1900	mask	r
r	531	1910	747	1955	mask	r
r	776	1910	789	1955	mask	r
r	818	1910	914	1955	mask	r
r	940	1913	1053	1955	mask	r
r	1082	1926	1108	1955	mask	r
r	1140	1913	1288	1968	mask	r
r	1311	1913	1398	1955	mask	r
r	1417	1923	1591	1955	mask	r
r	1620	1916	1726	1955	mask	r
r	531	1994	612	2019	mask	r
r	641	1978	750	2032	mask	r
r	779	1981	885	2023	mask	r
r	914	1994	940	2023	mask	r
r	969	1981	1140	2023	mask	r
r	1169	1981	1407	2023	mask	r
r	1456	1984	1620	2023	mask	r
r	1649	1997	1672	2023	mask	r
r	1704	1984	1733	2026	mask	r
r	534	2045	792	2087	mask	r
r	821	2045	1005	2087	mask	r
r	1034	2045	1105	2100	mask	r
r	1130	2048	1221	2087	mask	r
r	1266	2048	1365	2090	mask	r
r	1394	2061	1417	2090	mask	r
r	1449	2048	1604	2103	mask	r
r	1649	2052	1730	2090	mask	r
r	531	2113	573	2155	mask	r
r	602	2126	831	2155	mask	r
r	869	2126	998	2168	mask	r
r	1027	2113	1159	2155	mask	r
r	1188	2113	1256	2155	mask	r
r	1291	2129	1372	2155	mask	r
r	1401	2113	1610	2168	mask	r
r	1643	2129	1726	2155	mask	r
r	534	2181	641	2222	mask	r
r	670	2177	744	2235	mask	r
r	776	2181	889	2222	mask	r
r	918	2181	937	2222	mask	r
r	979	2181	992	2222	mask	r
i	1024	2181	1088	2222	mask	i
i	1121	2181	1343	2235	mask	i
i	1372	2181	1481	2222	mask	i
i	1514	2184	1668	2226	mask	i
r	1691	2200	1726	2226	mask	r
r	534	2248	631	2303	mask	r
r	650	2251	779	2290	mask	r
r	798	2261	882	2290	mask	r
r	914	2248	1011	2303	mask	r
r	1040	2248	1082	2290	mask	r
r	1111	2248	1256	2290	mask	r
r	1275	2261	1298	2290	mask	r
r	1317	2248	1730	2303	mask	r
r	531	2316	740	2358	mask	r
r	769	2316	979	2358	mask	r
r	1005	2316	1072	2358	mask	r
r	1101	2332	1182	2358	mask	r
r	1211	2329	1343	2358	mask	r
b	615	2413	670	2451	mask	b
i	728	2413	766	2454	mask	i
i	795	2425	921	2451	mask	i
i	947	2425	972	2454	mask	i
i	1011	2413	1156	2454	mask	i
i	1182	2413	1485	2467	mask	i
i	1794	2416	1842	2454	mask	i
b	615	2570	686	2609	mask	b
b	715	2567	866	2612	mask	b
r	895	2567	1059	2609	mask	r
r	1088	2593	1143	2596	mask	r
r	1166	2567	1201	2609	mask	r
r	1246	2567	1317	2609	mask	r
r	1353	2567	1449	2622	mask	r
r	1478	2580	1501	2609	mask	r
r	1533	2567	1659	2609	mask	r
r	1688	2567	1726	2609	mask	r
b	625	702	666	744	mask	b
i	734	702	837	744	mask	i
i	863	702	908	744	mask	i
i	934	702	1188	744	mask	i
b	618	769	670	808	mask	b
i	740	769	873	811	mask	i
i	905	769	972	811	mask	i
i	998	769	1137	811	mask	i
i	1797	699	1852	753	mask	i
i	1800	769	1858	824	mask	i
